epoch,train_loss,val_loss,val_auc_macro,lr,time_sec,sens_melanoma,spec_melanoma,sens_basal_cell_carcinoma,spec_basal_cell_carcinoma,sens_squamous_cell_carcinoma,spec_squamous_cell_carcinoma
0,1.0723537705364599,1.0817720067501069,0.8230430676660141,5.5e-05,37.6,0.40772532188841204,0.8851499634235552,0.24324324324324326,0.9606815203145478,0.037037037037037035,0.9987285441830897
1,1.0721829674344532,1.0745163547992707,0.8210909608647528,0.0001,37.6,0.40772532188841204,0.8829553767373811,0.24324324324324326,0.9646133682830931,0.0,0.9987285441830897
2,1.0607820133833938,1.065350261926651,0.8269525236243629,9.698764640825613e-05,37.7,0.45493562231759654,0.8478419897585955,0.32432432432432434,0.9560943643512451,0.0,0.9993642720915448
3,1.0495596149825284,1.0575604963302612,0.8260134727216734,8.831391993379295e-05,37.6,0.38197424892703863,0.8851499634235552,0.3108108108108108,0.9574049803407602,0.0,0.9974570883661793
4,1.0296680782436924,1.0637584447860717,0.8090796031425621,7.502500000000001e-05,37.7,0.33476394849785407,0.9122165325530358,0.32432432432432434,0.9462647444298821,0.0,0.9987285441830897
5,1.0468863828183816,1.0556138134002686,0.8187415295106082,5.872372647446318e-05,38.2,0.36909871244635195,0.8866130212143379,0.25675675675675674,0.9600262123197904,0.0,0.9980928162746344
6,1.0320806271185112,1.0552481043338775,0.8232755453900884,4.1376273525536834e-05,38.0,0.30042918454935624,0.9151426481346013,0.24324324324324326,0.971821756225426,0.0,0.9987285441830897
7,1.0287910884367246,1.0450473129749298,0.8288613853967921,2.507500000000001e-05,37.7,0.34334763948497854,0.9049012435991222,0.33783783783783783,0.9593709043250328,0.0,0.9974570883661793
8,1.0229706908262424,1.0457365012168884,0.829910959907743,1.1786080066207056e-05,37.7,0.351931330472103,0.902706656912948,0.33783783783783783,0.963302752293578,0.0,0.9968213604577241
9,1.0250613506736168,1.0414538967609406,0.8329954217258451,3.1123535917438795e-06,37.7,0.37339055793991416,0.8902706656912948,0.2972972972972973,0.9646133682830931,0.0,0.9974570883661793
10,1.0106811786608176,1.0446279895305635,0.8265961595933362,0.0001,37.7,0.3562231759656652,0.9078273591806877,0.32432432432432434,0.9606815203145478,0.037037037037037035,0.9980928162746344
11,1.0155815682791258,1.0373697805404662,0.8260809971547116,9.698764640825613e-05,37.7,0.34334763948497854,0.9092904169714704,0.32432432432432434,0.9678899082568807,0.0,0.996185632549269
12,1.0312480300046099,1.0349643003940583,0.8255885026032733,8.831391993379295e-05,37.7,0.34763948497854075,0.8939283101682517,0.25675675675675674,0.963302752293578,0.07407407407407407,0.9917355371900827
13,1.0161681050433462,1.029316017627716,0.8360241715265517,7.502500000000001e-05,37.8,0.37339055793991416,0.8968544257498171,0.3108108108108108,0.9606815203145478,0.0,0.9955499046408137
14,1.0103496647727466,1.0242347979545594,0.8419078920222574,5.872372647446318e-05,37.7,0.34334763948497854,0.9122165325530358,0.3918918918918919,0.9606815203145478,0.1111111111111111,0.9974570883661793
15,0.9953509551602087,1.0125671136379242,0.8506198971215081,4.1376273525536834e-05,37.8,0.43776824034334766,0.8814923189465984,0.35135135135135137,0.9567496723460026,0.14814814814814814,0.9917355371900827
16,0.9995079797462417,1.01869202375412,0.8453069453211355,2.507500000000001e-05,37.7,0.36909871244635195,0.9056327724945136,0.32432432432432434,0.9567496723460026,0.07407407407407407,0.9949141767323586
17,1.0011983582738735,1.017259759902954,0.8499291336334619,1.1786080066207056e-05,37.7,0.37339055793991416,0.9012435991221653,0.32432432432432434,0.9698558322411533,0.07407407407407407,0.9968213604577241
18,0.9976005951270751,1.021722548007965,0.8404421597643648,3.1123535917438795e-06,37.7,0.34334763948497854,0.9158741770299926,0.33783783783783783,0.9619921363040629,0.037037037037037035,0.9955499046408137
19,0.9887165198211133,1.0153129231929778,0.8460033115920966,0.0001,37.7,0.3776824034334764,0.9019751280175567,0.36486486486486486,0.9560943643512451,0.07407407407407407,0.9923712650985378
