class,argmax_sensitivity,argmax_specificity,youden_threshold,youden_sensitivity,youden_specificity
melanoma,0.3080168776371308,0.9181494661921709,0.11941216140985489,0.8143459915611815,0.5788849347568209
basal cell carcinoma,0.4065934065934066,0.9555106167846309,0.09061954915523529,0.9010989010989011,0.7239635995955511
