epoch,train_loss,val_loss,val_auc_macro,lr,time_sec,sens_melanoma,spec_melanoma,sens_basal_cell_carcinoma,spec_basal_cell_carcinoma,sens_squamous_cell_carcinoma,spec_squamous_cell_carcinoma
0,0.983482562401753,0.9657266801595688,0.8535480521269692,5.5e-05,136.4,0.2918454935622318,0.9465983906364301,0.7162162162162162,0.9318479685452162,0.1111111111111111,0.993006993006993
1,0.990442060761538,0.9508292791247368,0.863477107543392,0.0001,135.3,0.30042918454935624,0.9422092172640819,0.6486486486486487,0.9528178243774574,0.07407407407407407,0.9910998092816274
2,0.9741110301704432,0.9510022455453873,0.8616937479707367,9.698764640825613e-05,174.0,0.3090128755364807,0.9495245062179956,0.6351351351351351,0.9521625163826999,0.2222222222222222,0.9910998092816274
3,0.9682618788242021,0.9444077491760254,0.8592450689009653,8.831391993379295e-05,199.6,0.3562231759656652,0.9341623994147769,0.6621621621621622,0.9436435124508519,0.2222222222222222,0.989192625556262
4,0.9533538713362579,0.9406999176740647,0.8587508357452337,7.502500000000001e-05,210.0,0.37339055793991416,0.9436722750548646,0.6351351351351351,0.9501965923984272,0.18518518518518517,0.989192625556262
5,0.9466760237266454,0.9337958893179894,0.8558321563413068,5.872372647446318e-05,200.7,0.36909871244635195,0.9378200438917337,0.6486486486486487,0.9436435124508519,0.2222222222222222,0.9879211697393515
6,0.9393143761900552,0.9366524022817612,0.8562810103342927,4.1376273525536834e-05,210.9,0.33905579399141633,0.9473299195318216,0.6351351351351351,0.9580602883355177,0.18518518518518517,0.9923712650985378
7,0.9289581493172003,0.9302058693766594,0.8639030912165413,2.507500000000001e-05,205.5,0.3605150214592275,0.9414776883686906,0.5540540540540541,0.9619921363040629,0.18518518518518517,0.9910998092816274
8,0.9306949851821112,0.9293926745653153,0.8607433996143103,1.1786080066207056e-05,208.2,0.3261802575107296,0.9480614484272128,0.6621621621621622,0.9495412844036697,0.18518518518518517,0.9898283534647171
9,0.9292129711983432,0.9239274513721466,0.8634088671778748,3.1123535917438795e-06,183.4,0.34763948497854075,0.9473299195318216,0.5945945945945946,0.9587155963302753,0.18518518518518517,0.9898283534647171
10,0.9278025094167706,0.9271425184607506,0.8567151439506135,0.0001,206.4,0.33047210300429186,0.9539136795903438,0.6486486486486487,0.9528178243774574,0.14814814814814814,0.996185632549269
11,0.931452097544635,0.920905151963234,0.8652747501395631,9.698764640825613e-05,209.2,0.34763948497854075,0.9429407461594733,0.6216216216216216,0.9501965923984272,0.1111111111111111,0.9898283534647171
12,0.9223891911375707,0.9172237649559974,0.8574585362075073,8.831391993379295e-05,205.5,0.41201716738197425,0.9283101682516459,0.6351351351351351,0.9593709043250328,0.18518518518518517,0.9942784488239034
13,0.9201950237164941,0.9126340121030807,0.8716562217319674,7.502500000000001e-05,209.9,0.351931330472103,0.9400146305779078,0.5945945945945946,0.9646133682830931,0.25925925925925924,0.9834710743801653
14,0.9221889598451041,0.9201361393928528,0.8544368716666078,5.872372647446318e-05,204.0,0.3648068669527897,0.9392831016825165,0.5405405405405406,0.9665792922673656,0.18518518518518517,0.9949141767323586
15,0.9100580989635797,0.9022953337430955,0.8679154950194533,4.1376273525536834e-05,208.6,0.38197424892703863,0.9407461594732992,0.581081081081081,0.9580602883355177,0.2222222222222222,0.9904640813731723
16,0.9096634434759417,0.9039345040917397,0.864069056759543,2.507500000000001e-05,204.4,0.38197424892703863,0.9385515727871251,0.5405405405405406,0.9711664482306684,0.2222222222222222,0.9904640813731723
17,0.8957185364615893,0.8979783254861832,0.8656979158959011,1.1786080066207056e-05,205.7,0.40772532188841204,0.9297732260424286,0.5675675675675675,0.9646133682830931,0.2222222222222222,0.989192625556262
18,0.8908014577104194,0.9032074347138405,0.8684537178349547,3.1123535917438795e-06,211.0,0.3648068669527897,0.9473299195318216,0.5675675675675675,0.9646133682830931,0.18518518518518517,0.9879211697393515
19,0.8961778146982672,0.9041699278354645,0.8652775048916005,0.0001,204.9,0.34334763948497854,0.9429407461594733,0.5945945945945946,0.95478374836173,0.18518518518518517,0.989192625556262
