epoch,train_loss,val_loss,val_auc_macro,lr,time_sec,sens_melanoma,spec_melanoma,sens_basal_cell_carcinoma,spec_basal_cell_carcinoma
0,0.8818825803001035,0.8751051085507713,0.8458613275546139,5.5e-05,58.1,0.4343891402714932,0.8961038961038961,0.4666666666666667,0.9519650655021834
1,0.8934464954793659,0.8742688913518557,0.8483781944056104,0.0001,58.1,0.43891402714932126,0.9090909090909091,0.4533333333333333,0.9552401746724891
2,0.8819973286254184,0.8719962729455003,0.848358885122123,9.698764640825613e-05,58.3,0.4117647058823529,0.9038961038961039,0.48,0.9432314410480349
3,0.878504781780771,0.859074786500902,0.8551374993533567,8.831391993379295e-05,58.3,0.3574660633484163,0.9194805194805195,0.4666666666666667,0.9465065502183406
4,0.8746859735477341,0.8622494852987957,0.8518993813800272,7.502500000000001e-05,58.1,0.38461538461538464,0.9194805194805195,0.52,0.9432314410480349
5,0.8528532541540668,0.8708144064267156,0.848471708132822,5.872372647446318e-05,58.8,0.3891402714932127,0.9168831168831169,0.4533333333333333,0.9585152838427947
6,0.8600492237142213,0.8565657223630264,0.8463606507322293,4.1376273525536834e-05,58.6,0.40271493212669685,0.9103896103896104,0.5066666666666667,0.9465065502183406
7,0.853404842858496,0.8625525945852069,0.8440429396981299,2.507500000000001e-05,58.6,0.35294117647058826,0.9402597402597402,0.5066666666666667,0.9585152838427947
8,0.854624345331456,0.8538045755067819,0.8455489293656111,1.1786080066207056e-05,58.8,0.3936651583710407,0.9155844155844156,0.5066666666666667,0.9410480349344978
9,0.8554725634597989,0.8478094549881582,0.8505580793662839,3.1123535917438795e-06,58.9,0.3755656108597285,0.925974025974026,0.5466666666666666,0.9497816593886463
10,0.8441548694995036,0.8518864101646647,0.843726407298461,0.0001,58.9,0.38009049773755654,0.9207792207792208,0.5733333333333334,0.9465065502183406
11,0.8353594743669239,0.8476044562702583,0.8480030642104783,9.698764640825613e-05,58.9,0.3891402714932127,0.9155844155844156,0.56,0.9497816593886463
