class,malignant,support,sensitivity_recall,specificity,precision,f1,auc
actinic keratosis,False,59,0.4745762711864407,0.9461312438785504,0.3373493975903614,0.39436619718309857,0.8638257607197994
basal cell carcinoma,True,91,0.4065934065934066,0.9555106167846309,0.4567901234567901,0.43023255813953487,0.8872431915910177
dermatofibroma,False,32,0.375,0.9694656488549618,0.2727272727272727,0.3157894736842105,0.826544608778626
melanoma,True,237,0.3080168776371308,0.9181494661921709,0.5140845070422535,0.38522427440633245,0.7482268971074774
nevus,False,458,0.7183406113537117,0.8585209003215434,0.7889688249400479,0.752,0.8854589365197489
pigmented benign keratosis,False,179,0.5642458100558659,0.8235294117647058,0.38846153846153847,0.4601366742596811,0.7841814495377576
vascular lesion,False,24,0.8333333333333334,0.96875,0.37735849056603776,0.5194805194805194,0.9784958964646465
