metric,v6_7cls_380px_B4_nevuscap,v8_7cls_380px_B4_equalclass,delta_v8_minus_v6
Macro AUC,0.8789314623098047,0.8534252486741533,-0.02550621363565142
Melanoma AUC,0.7927233959487665,0.7482268971074774,-0.044496498841289145
Melanoma sensitivity (argmax),0.4261603375527426,0.3080168776371308,-0.11814345991561176
Melanoma sensitivity (thresh-adj.),0.7679324894514767,0.7341772151898734,-0.033755274261603296
Cohen's kappa (argmax),0.4928045009648246,0.4110911172910192,-0.08171338367380537
Overall accuracy (argmax),0.6259259259259259,0.5555555555555556,-0.0703703703703703
Macro F1,0.5216147093662803,0.4653185281647682,-0.056296181201512085
Balanced accuracy,0.5350117456605495,0.5257294728799842,-0.00928227278056537
MCC,0.4972656596461823,0.4156268183729205,-0.08163884127326182
