epoch,train_loss,val_loss,val_auc_macro,lr,time_sec,sens_melanoma,spec_melanoma,sens_basal_cell_carcinoma,spec_basal_cell_carcinoma,sens_squamous_cell_carcinoma,spec_squamous_cell_carcinoma
0,1.1949363067975718,1.1015308180451393,0.8271216437946728,0.001,68.7,0.26180257510729615,0.9217264081931237,0.3783783783783784,0.9836173001310616,0.0,1.0
1,1.1329946452790431,1.0678330600261687,0.7970287495872335,0.0008535680352542143,68.8,0.23605150214592274,0.9370885149963424,0.2972972972972973,0.9908256880733946,0.037037037037037035,0.9987285441830897
2,1.0902439572311293,1.0180950626730918,0.8492099535887334,0.0005000499999999999,68.8,0.3562231759656652,0.9092904169714704,0.32432432432432434,0.9895150720838795,0.0,0.9987285441830897
3,1.0422442220076569,1.000704026222229,0.8361573021237602,0.0001465319647457856,70.0,0.27896995708154504,0.916605705925384,0.3918918918918919,0.9875491480996068,0.1111111111111111,0.9923712650985378
4,1.014305002116071,0.9832986468076705,0.8488789414730977,0.001,68.7,0.351931330472103,0.9100219458668617,0.4594594594594595,0.9796854521625163,0.1111111111111111,0.993006993006993
5,1.060733805034916,1.0067225253582002,0.852801777831111,0.0008535680352542143,68.5,0.36909871244635195,0.8961228968544257,0.47297297297297297,0.9692005242463958,0.14814814814814814,0.9910998092816274
6,1.042398998390806,0.9766296163201332,0.8599870089730441,0.0005000499999999999,68.6,0.38197424892703863,0.8873445501097293,0.47297297297297297,0.9711664482306684,0.07407407407407407,0.9936427209154481
7,1.0010837912799047,0.9578239971399307,0.861063785788915,0.0001465319647457856,68.6,0.3133047210300429,0.9261155815654718,0.6351351351351351,0.9442988204456094,0.07407407407407407,0.9942784488239034
8,0.985542228296948,0.9444232794642449,0.8621600249243362,0.001,69.5,0.3090128755364807,0.9319678127286027,0.7027027027027027,0.9423328964613368,0.07407407407407407,0.9949141767323586
9,1.018638700729876,0.9651469326019287,0.8539672811484074,0.0008535680352542143,95.4,0.47639484978540775,0.880760790051207,0.5,0.9606815203145478,0.0,0.9980928162746344
