class,argmax_sensitivity,argmax_specificity,youden_threshold,youden_sensitivity,youden_specificity
melanoma,0.4112903225806452,0.8875255623721882,0.23465636372566223,0.532258064516129,0.8186775732788003
basal cell carcinoma,0.5494505494505495,0.9556650246305419,0.08822015672922134,0.967032967032967,0.7740147783251232
squamous cell carcinoma,0.37209302325581395,0.9730861244019139,0.13442741334438324,0.7906976744186046,0.8492822966507176
