epoch,train_loss,val_loss,val_auc_macro,lr,time_sec,sens_melanoma,spec_melanoma,sens_basal_cell_carcinoma,spec_basal_cell_carcinoma,sens_squamous_cell_carcinoma,spec_squamous_cell_carcinoma
0,1.1909848710952473,1.1021033936738969,0.8400575393223917,0.001,117.7,0.21888412017167383,0.9451353328456474,0.36486486486486486,0.9823066841415465,0.0,1.0
1,1.1279645854007136,1.0744383987784385,0.8232414058047326,0.0005000499999999999,68.7,0.3776824034334764,0.8822238478419897,0.6081081081081081,0.9207077326343381,0.037037037037037035,0.993006993006993
2,1.056035135691388,0.994163878262043,0.8464248184622687,0.001,68.4,0.2017167381974249,0.9473299195318216,0.44594594594594594,0.9836173001310616,0.037037037037037035,1.0
3,1.06155384848442,1.020681793987751,0.8318116698802339,0.0005000499999999999,89.7,0.38626609442060084,0.8844184345281638,0.5540540540540541,0.9305373525557011,0.1111111111111111,0.9847425301970757
4,1.0279335359479467,0.9809740528464317,0.8489417902310317,0.001,68.9,0.2703862660944206,0.950256035113387,0.6216216216216216,0.9593709043250328,0.1111111111111111,0.9898283534647171
