class,malignant,support,sensitivity_recall,specificity,precision,f1
actinic keratosis,False,34,0.20588235294117646,0.991076740035693,0.3181818181818182,0.25
basal cell carcinoma,True,91,0.8131868131868132,0.8300492610837439,0.21142857142857144,0.3356009070294785
dermatofibroma,False,32,0.375,0.9649435531788473,0.16901408450704225,0.23300970873786409
melanoma,True,248,0.5241935483870968,0.8214042263122018,0.33163265306122447,0.40625
nevus,False,1064,0.5338345864661654,0.9201228878648233,0.9161290322580645,0.6745843230403801
pigmented benign keratosis,False,179,0.1340782122905028,0.9759114583333334,0.39344262295081966,0.2
squamous cell carcinoma,True,43,0.46511627906976744,0.9324162679425837,0.15037593984962405,0.22727272727272727
vascular lesion,False,24,0.7916666666666666,0.9722057953873448,0.2878787878787879,0.4222222222222222
