melanoma_threshold,melanoma_sens,melanoma_spec,macro_f1,balanced_accuracy,mcc,accuracy
0.05,0.9112903225806451,0.2903885480572597,0.29827480155165,0.35710692236741437,0.23186525370887004,0.2938775510204082
0.055,0.9112903225806451,0.31356509884117245,0.30712437485193267,0.3660746541969883,0.24600333855565645,0.3131195335276968
0.06,0.9112903225806451,0.3340149965916837,0.3168870088325636,0.3729179342721763,0.2543723608156485,0.3282798833819242
0.065,0.9032258064516129,0.35241990456714384,0.3193535637966137,0.3749643810342428,0.2613242888502448,0.3422740524781341
0.07,0.9032258064516129,0.3728698023176551,0.32539888604196976,0.3787172163347846,0.27185911185014505,0.3580174927113703
0.075,0.9032258064516129,0.3994546693933197,0.34009591199253336,0.3938265679260533,0.2883834832473651,0.3795918367346939
0.08,0.8951612903225806,0.41990456714383095,0.3528613017050522,0.4009461333210478,0.29870269809783545,0.39533527696793
0.085,0.8911290322580645,0.43558282208588955,0.3609247192305255,0.40646819571136894,0.30554043047179175,0.40699708454810496
0.09,0.8870967741935484,0.4458077709611452,0.3634291465940188,0.408307224317756,0.3111000662793936,0.4151603498542274
0.095,0.8830645161290323,0.46421267893660534,0.36678077761064687,0.4115560273602334,0.3216738179448113,0.4303206997084548
0.1,0.8830645161290323,0.47443762781186094,0.36591772588384874,0.4133116822096474,0.3248651752121984,0.43615160349854226
0.105,0.8709677419354839,0.4839809134287662,0.36393107556243653,0.41320935987154417,0.325603598823533,0.441399416909621
0.11,0.8629032258064516,0.5030674846625767,0.37148218857728615,0.4185798336128233,0.3318841737832266,0.4542274052478134
0.115,0.8629032258064516,0.5153374233128835,0.3763088743810834,0.42173869970262884,0.3394597506612219,0.4641399416909621
0.12,0.8588709677419355,0.5289706884798909,0.37862816753133677,0.42334932909869966,0.345545824910966,0.4740524781341108
0.125,0.8548387096774194,0.5432856169052488,0.38185652383756186,0.42542332011110184,0.3506371941384637,0.4833819241982507
0.13,0.8548387096774194,0.5548738922972052,0.38850845839026105,0.43109040795476616,0.35660050273493865,0.4909620991253644
0.135,0.8548387096774194,0.5712338104976141,0.3914451892049447,0.43344003201491654,0.36382958783994696,0.5026239067055394
0.14,0.8508064516129032,0.5875937286980232,0.39944527005002683,0.43888816193604296,0.3744280675019459,0.5142857142857142
0.145,0.842741935483871,0.59986366734833,0.4066421242993462,0.4460123344370378,0.3799717915014726,0.5224489795918368
0.15,0.842741935483871,0.6148602590320382,0.4107261414547143,0.45030986449445465,0.38828901413553163,0.5317784256559767
0.155,0.8387096774193549,0.6305385139740968,0.4179685226256517,0.45617780729809965,0.396316442500652,0.5422740524781341
0.16,0.8145161290322581,0.6441717791411042,0.4180106909372085,0.4550333129978328,0.39595386962308515,0.5481049562682215
0.165,0.7983870967741935,0.656441717791411,0.4184721030031913,0.45477940201068756,0.3979430310762023,0.5545189504373178
0.17,0.7862903225806451,0.6741649625085208,0.4280215082356935,0.46586778941328233,0.403710177262431,0.5626822157434402
0.175,0.7782258064516129,0.6925698704839809,0.4315298949892103,0.46825355339297386,0.4099976124301741,0.572594752186589
0.18,0.7540322580645161,0.710974778459441,0.4296534799821336,0.4673440214987221,0.41232091643988794,0.5795918367346938
0.185,0.7338709677419355,0.7300613496932515,0.4304564405584185,0.46912795346151515,0.4183544302866172,0.5889212827988338
0.19,0.7096774193548387,0.7416496250852079,0.4299229493508915,0.4685347171138221,0.4168189631594598,0.5912536443148688
0.195,0.6935483870967742,0.7539195637355146,0.4331388472492355,0.4700233345846934,0.4212212519964922,0.597667638483965
0.2,0.6854838709677419,0.7661895023858214,0.4361286070136646,0.4738706212742537,0.42790929877326794,0.6052478134110787
