epoch,train_loss,val_loss,val_auc_macro,lr,time_sec,sens_melanoma,spec_melanoma,sens_basal_cell_carcinoma,spec_basal_cell_carcinoma,sens_squamous_cell_carcinoma,spec_squamous_cell_carcinoma
0,1.2100159510700637,1.1456445419788361,0.8026651473356737,0.001,35.1,0.3562231759656652,0.8485735186539868,0.06756756756756757,0.9927916120576671,0.0,1.0
1,1.161648860507896,1.1231249845027924,0.7744311740984264,0.0008535680352542143,29.2,0.4206008583690987,0.8324798829553768,0.22972972972972974,0.9587155963302753,0.0,1.0
2,1.1271504127651912,1.1046787202358246,0.7776270729444382,0.0005000499999999999,28.5,0.4034334763948498,0.8595464520848574,0.4864864864864865,0.9213630406290957,0.0,1.0
3,1.091376607528247,1.0856867492198945,0.8089910550439968,0.0001465319647457856,43.5,0.3562231759656652,0.8895391367959035,0.25675675675675674,0.9659239842726082,0.037037037037037035,0.9987285441830897
4,1.0770602111918608,1.0727222657203674,0.8260139400951112,0.001,53.0,0.3218884120171674,0.9231894659839064,0.2702702702702703,0.9619921363040629,0.037037037037037035,0.9980928162746344
5,1.104034094561368,1.0951842856407166,0.783039438333542,0.0008535680352542143,29.3,0.20600858369098712,0.9546452084857352,0.4189189189189189,0.9062909567496723,0.1111111111111111,0.9796567069294342
6,1.1001140602147588,1.0885627996921539,0.7972531255759476,0.0005000499999999999,44.2,0.27467811158798283,0.9180687637161667,0.32432432432432434,0.9515072083879423,0.0,0.996185632549269
7,1.0861231841660952,1.0728680849075318,0.8147159481200914,0.0001465319647457856,42.0,0.3648068669527897,0.880760790051207,0.2972972972972973,0.9429882044560943,0.07407407407407407,0.9949141767323586
8,1.0466375724788648,1.0681946635246278,0.8092507354949423,0.001,32.6,0.3648068669527897,0.8983174835405998,0.3108108108108108,0.9600262123197904,0.1111111111111111,0.993006993006993
9,1.0857353565601877,1.0898600029945373,0.8049896317265454,0.0008535680352542143,29.5,0.33047210300429186,0.908558888076079,0.13513513513513514,0.9836173001310616,0.2222222222222222,0.9898283534647171
