metric,achieved,target,gap
Macro AUC (test),0.8534252486741533,0.93,0.07657475132584679
Melanoma sensitivity (argmax),0.3080168776371308,0.85,0.5419831223628692
Melanoma sensitivity (threshold-adj.),0.7341772151898734,0.85,0.11582278481012653
Cohen's kappa (argmax),0.4110911172910192,0.8,0.38890888270898083
Cohen's kappa (threshold-adj.),0.305290889132821,0.8,0.49470911086717906
Overall accuracy (argmax),0.5555555555555556,,
Overall accuracy (threshold-adj.),0.45740740740740743,,
Macro F1 (argmax),0.4653185281647682,,
Balanced accuracy (argmax),0.5257294728799842,,
MCC (argmax),0.4156268183729205,,
