epoch,train_loss,val_loss,val_auc_macro,lr,time_sec,sens_melanoma,spec_melanoma,sens_basal_cell_carcinoma,spec_basal_cell_carcinoma,sens_squamous_cell_carcinoma,spec_squamous_cell_carcinoma
0,0.9115550721721688,0.9168056225776673,0.8641466688128012,1e-05,296.8,0.37339055793991416,0.9319678127286027,0.5405405405405406,0.9580602883355177,0.18518518518518517,0.9841068022886205
1,0.9069683903028561,0.913609790802002,0.872198849279685,8.550178566873412e-06,296.1,0.3562231759656652,0.944403803950256,0.581081081081081,0.963302752293578,0.25925925925925924,0.989192625556262
2,0.914404634094366,0.9074830040335655,0.862345407573295,5.05e-06,294.3,0.41630901287553645,0.9180687637161667,0.5540540540540541,0.9587155963302753,0.18518518518518517,0.9879211697393515
3,0.9168073474362802,0.9064895814657211,0.8688206645917658,1.54982143312659e-06,293.5,0.41201716738197425,0.9297732260424286,0.5675675675675675,0.9606815203145478,0.18518518518518517,0.9898283534647171
4,0.9187003289144149,0.9146891212463379,0.8692289511870981,1e-05,234.8,0.351931330472103,0.944403803950256,0.5540540540540541,0.9619921363040629,0.18518518518518517,0.9885568976478067
5,0.9218483986426581,0.9103408873081207,0.8702592177154509,8.550178566873412e-06,215.8,0.38626609442060084,0.9378200438917337,0.5405405405405406,0.9646133682830931,0.2222222222222222,0.9872854418308964
