class,malignant,support,sensitivity_recall,specificity,precision,f1,auc
actinic keratosis,False,34,0.5882352941176471,0.9488399762046401,0.18867924528301888,0.2857142857142857,0.924782167477342
basal cell carcinoma,True,91,0.5494505494505495,0.9556650246305419,0.4098360655737705,0.4694835680751174,0.9314540139663292
dermatofibroma,False,32,0.5,0.9316696375519905,0.12213740458015267,0.19631901840490798,0.8487076648841354
melanoma,True,248,0.4112903225806452,0.8875255623721882,0.38202247191011235,0.39611650485436894,0.733332233876465
nevus,False,1064,0.6578947368421053,0.8740399385560675,0.8951406649616368,0.7583965330444203,0.8614378688657127
pigmented benign keratosis,False,179,0.29608938547486036,0.9453125,0.38686131386861317,0.33544303797468356,0.7565758845437617
squamous cell carcinoma,True,43,0.37209302325581395,0.9730861244019139,0.26229508196721313,0.3076923076923077,0.8742210971403137
vascular lesion,False,24,0.8333333333333334,0.9473684210526315,0.1834862385321101,0.3007518796992481,0.9428838951310862
