epoch,train_loss,val_loss,val_auc_macro,lr,time_sec,sens_melanoma,spec_melanoma,sens_basal_cell_carcinoma,spec_basal_cell_carcinoma,sens_squamous_cell_carcinoma,spec_squamous_cell_carcinoma
0,0.9503660810528709,0.9259577456116677,0.8796186258216734,1e-05,152.6,0.38626609442060084,0.9114850036576445,0.5945945945945946,0.95478374836173,0.1111111111111111,0.989192625556262
1,0.9570334679794567,0.9225604444742203,0.8730218739250637,8.550178566873412e-06,152.0,0.34763948497854075,0.9334308705193856,0.6621621621621622,0.9515072083879423,0.1111111111111111,0.9879211697393515
2,0.9491985622461578,0.9211386099457741,0.8749070957898724,5.05e-06,154.0,0.33905579399141633,0.9283101682516459,0.6351351351351351,0.9613368283093053,0.07407407407407407,0.9904640813731723
3,0.9415194593175338,0.9243063160777092,0.8700477149321244,1.54982143312659e-06,153.6,0.3562231759656652,0.9173372348207754,0.581081081081081,0.9619921363040629,0.07407407407407407,0.989192625556262
4,0.953422941422191,0.9263188579678535,0.8648659571992018,1e-05,172.9,0.3905579399141631,0.9100219458668617,0.6216216216216216,0.9593709043250328,0.1111111111111111,0.989192625556262
5,0.9455089246196708,0.9311751621961594,0.8646431979574352,8.550178566873412e-06,157.8,0.3948497854077253,0.9144111192392099,0.7162162162162162,0.9515072083879423,0.07407407407407407,0.9866497139224412
6,0.9361636320377307,0.9271105137467385,0.8633936918717402,5.05e-06,151.7,0.3605150214592275,0.9246525237746891,0.6216216216216216,0.9521625163826999,0.037037037037037035,0.9917355371900827
7,0.9480079742781045,0.9177018174529076,0.8738079165400254,1.54982143312659e-06,151.2,0.39914163090128757,0.916605705925384,0.6081081081081081,0.9600262123197904,0.1111111111111111,0.9910998092816274
8,0.9458686977125859,0.9134086292982101,0.8740070576927195,1e-05,151.9,0.3905579399141631,0.9188002926115582,0.6351351351351351,0.9567496723460026,0.14814814814814814,0.986013986013986
