class,malignant,support,sensitivity_recall,specificity,precision,f1
actinic keratosis,False,59,0.03389830508474576,1.0,1.0,0.06557377049180328
basal cell carcinoma,True,91,0.7692307692307693,0.8008088978766431,0.26217228464419473,0.39106145251396646
dermatofibroma,False,32,0.34375,0.9904580152671756,0.5238095238095238,0.41509433962264153
melanoma,True,237,0.7341772151898734,0.6073546856465006,0.3445544554455445,0.46900269541778977
nevus,False,458,0.4497816593886463,0.9662379421221865,0.9074889867841409,0.6014598540145986
pigmented benign keratosis,False,179,0.1005586592178771,0.9822419533851277,0.5294117647058824,0.16901408450704225
vascular lesion,False,24,0.5416666666666666,0.9895833333333334,0.5416666666666666,0.5416666666666666
