epoch,train_loss,val_loss,val_auc_macro,lr,time_sec,sens_melanoma,spec_melanoma,sens_basal_cell_carcinoma,spec_basal_cell_carcinoma
0,1.417321016429474,1.3961875415834721,0.6941067770309512,0.001,10.2,0.06787330316742081,0.9766233766233766,0.18666666666666668,0.9181222707423581
1,1.2643259008878907,1.0970065877006947,0.7751847887986226,0.0008535680352542143,9.7,0.13574660633484162,0.9701298701298702,0.49333333333333335,0.888646288209607
2,1.0735570758466095,1.0843733847441996,0.7909755372094266,0.0005000499999999999,9.7,0.15384615384615385,0.9701298701298702,0.4,0.9082969432314411
3,0.9544377936819806,1.0137005410449416,0.7940782213409239,0.0001465319647457856,9.7,0.17647058823529413,0.9636363636363636,0.36,0.9366812227074236
4,0.9364275011776957,1.0094560355278848,0.7982334651495522,0.001,9.7,0.19457013574660634,0.9584415584415584,0.4533333333333333,0.9290393013100436
5,0.9270038452848044,0.9452357610347413,0.8118853468605624,0.0008535680352542143,9.7,0.21266968325791855,0.935064935064935,0.5066666666666667,0.925764192139738
6,0.9280457505848417,0.9908661287198995,0.8049281802170061,0.0005000499999999999,9.7,0.2081447963800905,0.948051948051948,0.36,0.9650655021834061
7,0.9172048849488778,0.9374130352594778,0.8173475780438162,0.0001465319647457856,9.8,0.23529411764705882,0.9337662337662338,0.41333333333333333,0.9290393013100436
8,0.8713954222248328,0.9319702334529095,0.8180384747973007,0.001,10.2,0.2171945701357466,0.9337662337662338,0.4266666666666667,0.9312227074235808
9,0.8747572769989839,0.9011254102502894,0.8184002947767858,0.0008535680352542143,9.8,0.4117647058823529,0.8194805194805195,0.44,0.9355895196506551
