epoch,train_loss,val_loss,val_auc_macro,lr,time_sec,sens_melanoma,spec_melanoma,sens_basal_cell_carcinoma,spec_basal_cell_carcinoma,sens_squamous_cell_carcinoma,spec_squamous_cell_carcinoma
0,1.6512462202846323,0.9458329045772552,0.8120912259990012,0.001,29.1,0.2660944206008583,0.9078273591806876,0.3243243243243243,0.9482306684141546,0.037037037037037,0.9993642720915448
1,1.5052142610664905,0.9255722391605378,0.8134556801115631,0.0005000499999999,28.6,0.1330472103004291,0.9714703730797366,0.1621621621621621,0.973132372214941,0.2592592592592592,0.954863318499682
2,1.4376661603193672,0.9177204430103302,0.8193380118009033,0.001,34.4,0.4549356223175965,0.7805413313825896,0.1351351351351351,0.9783748361730014,0.2592592592592592,0.9758423394787032
3,1.4050759488276323,0.9210030579566956,0.8062597522928734,0.0005000499999999,29.1,0.1845493562231759,0.942209217264082,0.1891891891891892,0.9619921363040628,0.1111111111111111,0.9910998092816274
4,1.3649672684538547,0.9221012020111083,0.8249585566310498,0.001,28.6,0.4206008583690987,0.8354059985369422,0.3243243243243243,0.9626474442988204,0.1481481481481481,0.9917355371900828
5,1.3449736403524677,0.890522587299347,0.8266045765417929,0.001,29.3,0.38197424892703863,0.8690563277249451,0.3108108108108108,0.9574049803407602,0.18518518518518517,0.9853782581055308
6,1.3774366500149298,0.9045968806743622,0.8163546352404873,0.0008535680352542143,28.7,0.26180257510729615,0.9217264081931237,0.32432432432432434,0.9560943643512451,0.37037037037037035,0.9529561347743166
7,1.3764676916144154,0.9209610998630524,0.8306717426645381,0.0005000499999999999,28.7,0.4334763948497854,0.8434528163862473,0.3108108108108108,0.9777195281782438,0.07407407407407407,0.9879211697393515
8,1.319120235356882,0.8453793036937713,0.8370794271487915,0.0001465319647457856,31.8,0.3090128755364807,0.9231894659839064,0.32432432432432434,0.9672346002621232,0.2222222222222222,0.9758423394787031
9,1.3031124723891803,0.8891530811786652,0.8300920220925001,0.001,28.8,0.3948497854077253,0.8763716166788588,0.3783783783783784,0.9541284403669725,0.2222222222222222,0.9758423394787031
